symbol,entry_time,exit_time,entry_price,exit_price,ret_pct,strategy_name,note
KRW-0G,2025-11-28 08:00:00,2025-11-28 08:15:00,1850.0,1851.0,0.0540540540540535,REVERSAL,
KRW-0G,2025-11-28 08:05:00,2025-11-28 08:20:00,1857.0,1853.0,-0.2154011847065207,REVERSAL,
KRW-0G,2025-11-28 09:05:00,2025-11-28 09:20:00,1845.0,1840.0,-0.27100271002710175,REVERSAL,
KRW-0G,2025-11-28 09:25:00,2025-11-28 09:40:00,1845.0,1857.0,0.6504065040650486,REVERSAL,
KRW-0G,2025-11-28 09:40:00,2025-11-28 09:55:00,1857.0,1837.0,-1.0770059235325813,REVERSAL,
KRW-0G,2025-11-28 10:10:00,2025-11-28 10:25:00,1842.0,1846.0,0.21715526601520097,REVERSAL,
KRW-0G,2025-11-28 10:55:00,2025-11-28 11:10:00,1838.0,1843.0,0.2720348204570122,REVERSAL,
KRW-0G,2025-11-28 11:00:00,2025-11-28 11:15:00,1850.0,1831.0,-1.0270270270270276,REVERSAL,
KRW-0G,2025-11-28 11:25:00,2025-11-28 11:40:00,1833.0,1837.0,0.21822149481725006,REVERSAL,
KRW-0G,2025-11-28 11:30:00,2025-11-28 11:45:00,1837.0,1824.0,-0.7076755579749627,REVERSAL,
KRW-0G,2025-11-28 11:50:00,2025-11-28 12:05:00,1830.0,1842.0,0.6557377049180246,REVERSAL,
KRW-0G,2025-11-28 11:55:00,2025-11-28 12:10:00,1841.0,1845.0,0.21727322107549796,REVERSAL,
KRW-0G,2025-11-28 12:05:00,2025-11-28 12:20:00,1842.0,1858.0,0.8686210640608039,REVERSAL,
KRW-0G,2025-11-28 12:10:00,2025-11-28 12:25:00,1845.0,1851.0,0.3252032520325132,REVERSAL,
KRW-0G,2025-11-28 12:20:00,2025-11-28 12:35:00,1858.0,1852.0,-0.32292787944026013,REVERSAL,
KRW-0G,2025-11-28 13:20:00,2025-11-28 13:35:00,1838.0,1837.0,-0.05440696409140244,REVERSAL,
KRW-0G,2025-11-28 13:30:00,2025-11-28 13:45:00,1842.0,1837.0,-0.2714440825190012,REVERSAL,
KRW-0G,2025-11-28 14:00:00,2025-11-28 14:15:00,1841.0,1845.0,0.21727322107549796,REVERSAL,
KRW-0G,2025-11-28 14:05:00,2025-11-28 14:20:00,1848.0,1840.0,-0.43290043290042934,REVERSAL,
KRW-0G,2025-11-28 14:15:00,2025-11-28 14:30:00,1845.0,1835.0,-0.5420054200542035,REVERSAL,
KRW-0G,2025-11-28 14:45:00,2025-11-28 15:00:00,1834.0,1829.0,-0.27262813522355156,REVERSAL,
KRW-0G,2025-11-28 15:05:00,2025-11-28 15:20:00,1836.0,1848.0,0.6535947712418277,REVERSAL,
